annotation_id,annotator,choice,created_at,id,image,lead_time,updated_at
,,,,,,,
41,1,No Trucks,2025-01-24T09:12:55.252905Z,14440,/data/upload/5/957225b2-img_400.jpg,13.52,2025-01-24T09:12:55.252905Z
,,,,,,,
42,1,No Trucks,2025-01-24T09:13:00.154889Z,14441,/data/upload/5/278ae1da-img_401.jpg,3.027,2025-01-24T09:13:00.154889Z
,,,,,,,
43,1,No Trucks,2025-01-24T09:13:23.137533Z,14442,/data/upload/5/70ea59b6-img_402.jpg,21.042,2025-01-24T09:13:23.137533Z
,,,,,,,
44,1,Trucks,2025-01-24T09:13:59.877825Z,14443,/data/upload/5/d38458ca-img_403.jpg,28.937,2025-01-24T09:13:59.877825Z
,,,,,,,
45,1,No Trucks,2025-01-24T09:14:31.406425Z,14444,/data/upload/5/131035f1-img_404.jpg,26.488,2025-01-24T09:14:31.406425Z
,,,,,,,
46,1,Trucks,2025-01-24T09:14:44.177673Z,14445,/data/upload/5/811885c2-img_405.jpg,10.961,2025-01-24T09:14:44.177673Z
,,,,,,,
47,1,No Trucks,2025-01-24T09:14:51.332702Z,14446,/data/upload/5/3bf10eeb-img_406.jpg,5.328,2025-01-24T09:14:51.332702Z
,,,,,,,
48,1,No Trucks,2025-01-24T09:15:20.769143Z,14447,/data/upload/5/e82016a2-img_407.jpg,27.317,2025-01-24T09:15:20.769143Z
,,,,,,,
49,1,Trucks,2025-01-24T09:15:29.146684Z,14448,/data/upload/5/5cede574-img_408.jpg,6.688,2025-01-24T09:15:29.146684Z
,,,,,,,
50,1,No Trucks,2025-01-24T09:15:43.819559Z,14449,/data/upload/5/dd1f512a-img_409.jpg,6.442,2025-01-24T09:15:43.819559Z
,,,,,,,
51,1,Trucks,2025-01-24T09:15:50.629881Z,14450,/data/upload/5/bad8acdb-img_410.jpg,5.291,2025-01-24T09:15:50.629881Z
,,,,,,,
52,1,No Trucks,2025-01-24T09:16:14.211218Z,14451,/data/upload/5/978bb15b-img_411.jpg,15.653,2025-01-24T09:16:14.211218Z
,,,,,,,
53,1,No Trucks,2025-01-24T09:16:44.573910Z,14452,/data/upload/5/953ec37a-img_412.jpg,28.844,2025-01-24T09:16:44.573910Z
,,,,,,,
54,1,Trucks,2025-01-24T09:16:51.562987Z,14453,/data/upload/5/a3210d78-img_413.jpg,5.156,2025-01-24T09:16:51.562987Z
,,,,,,,
55,1,No Trucks,2025-01-24T09:17:04.347993Z,14454,/data/upload/5/05caa195-img_414.jpg,7.119,2025-01-24T09:17:04.347993Z
,,,,,,,
56,1,No Trucks,2025-01-24T09:17:33.370647Z,14455,/data/upload/5/610288e9-img_415.jpg,27.379,2025-01-24T09:17:33.370647Z
,,,,,,,
57,1,No Trucks,2025-01-24T09:17:48.069816Z,14456,/data/upload/5/97c3d566-img_416.jpg,11.714,2025-01-24T09:17:48.069816Z
,,,,,,,
58,1,Trucks,2025-01-24T09:17:56.485065Z,14457,/data/upload/5/ae84f0cf-img_417.jpg,6.462,2025-01-24T09:17:56.485065Z
,,,,,,,
59,1,Trucks,2025-01-24T09:18:02.252397Z,14458,/data/upload/5/dbff7076-img_418.jpg,4.381,2025-01-24T09:18:02.252397Z
,,,,,,,
60,1,No Trucks,2025-01-24T09:18:07.635530Z,14459,/data/upload/5/22060fd1-img_419.jpg,4.057,2025-01-24T09:18:07.635530Z
